Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Contexts,SPA_Pct,Lang_Group,Verb_Freq_Std,Interface,Timing,Months_at_Start_Std
H47,1,1,HS 2nd,2,8,99,NA,NA,NA,2,6,NA,8,Production,Prod-05,0,NA,NA,0,1,NA,estan comiendo el. pizza,DP,Articles,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd grade,8,0.25,HS,Placeholder,No,Early,NA
H47,1,1,HS 2nd,2,8,99,NA,NA,NA,2,6,NA,8,Production,Prod-11,1,NA,NA,1,1,english verb,esta showering el perro,DP,Articles,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd grade,8,0.25,HS,Placeholder,No,Early,NA
H48,1,1,HS 2nd,2,8,100,NA,NA,NA,1,4,NA,8,Production,Prod-07,1,NA,NA,1,1,NA,estan contando losnumeros,DP,Articles,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd grade,5,0.2,HS,Placeholder,No,Early,NA
H48,1,1,HS 2nd,2,8,100,NA,NA,NA,1,4,NA,8,Production,Prod-11,1,NA,NA,1,1,NA,lavan el perro,DP,Articles,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd grade,5,0.2,HS,Placeholder,No,Early,NA
H48,1,1,HS 2nd,2,8,100,NA,NA,NA,1,4,NA,8,Production,Prod-13,1,NA,NA,1,1,NA,oyen la musica,DP,Articles,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,0.49478691375133366,HS,2nd grade,5,0.2,HS,Placeholder,No,Early,NA
H50,1,1,HS 2nd,2,8,96,NA,NA,NA,3,3,NA,3,Production,Prod-03,1,NA,NA,1,1,NA,se pica. a los globos y se estalla,DP,Articles,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,-2.3914700831314444,HS,2nd grade,6,0.5,HS,Placeholder,No,Early,NA
H50,1,1,HS 2nd,2,8,96,NA,NA,NA,3,3,NA,3,Production,Prod-05,0,NA,NA,0,1,NA,se comer el pizza,DP,Articles,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,-2.3914700831314444,HS,2nd grade,6,0.5,HS,Placeholder,No,Early,NA
H50,1,1,HS 2nd,2,8,96,NA,NA,NA,3,3,NA,3,Production,Prod-07,1,NA,NA,1,1,NA,se dice los numeros en la cabeza,DP,Articles,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,-2.3914700831314444,HS,2nd grade,6,0.5,HS,Placeholder,No,Early,NA
H50,1,1,HS 2nd,2,8,96,NA,NA,NA,3,3,NA,3,Production,Prod-09,1,NA,NA,1,1,NA,se pontar las chaquetas,DP,Articles,Feminine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,-2.3914700831314444,HS,2nd grade,6,0.5,HS,Placeholder,No,Early,NA
H50,1,1,HS 2nd,2,8,96,NA,NA,NA,3,3,NA,3,Production,Prod-11,0,NA,NA,0,1,NA,se limpia la perro,DP,Articles,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,-2.3914700831314444,HS,2nd grade,6,0.5,HS,Placeholder,No,Early,NA
H50,1,1,HS 2nd,2,8,96,NA,NA,NA,3,3,NA,3,Production,Prod-13,0,NA,NA,0,1,english verb,they listen to el musica,DP,Articles,Feminine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,-2.3914700831314444,HS,2nd grade,6,0.5,HS,Placeholder,No,Early,NA
H50,1,1,HS 2nd,2,8,96,NA,NA,NA,3,3,NA,3,Production,Prod-15,1,NA,NA,1,1,NA,pontar los libros en la mesa,DP,Articles,Masculine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,-2.3914700831314444,HS,2nd grade,6,0.5,HS,Placeholder,No,Early,NA
H50,1,1,HS 2nd,2,8,96,NA,NA,NA,3,3,NA,3,Production,Prod-17,0,NA,NA,0,1,NA,se comen los galletas,DP,Articles,Feminine,Plural,NA,NA,NA,Heritage Spanish,NA,NA,NA,-2.3914700831314444,HS,2nd grade,6,0.5,HS,Placeholder,No,Early,NA
H50,1,1,HS 2nd,2,8,96,NA,NA,NA,3,3,NA,3,Production,Prod-19,1,NA,NA,1,1,NA,se cocinando elpescado,DP,Articles,Masculine,Singular,NA,NA,NA,Heritage Spanish,NA,NA,NA,-2.3914700831314444,HS,2nd grade,6,0.5,HS,Placeholder,No,Early,NA
